"","tweet","created","number"
"165","positive","2016-04-13:02",6
"166","positive","2016-04-13:05",1
"167","positive","2016-04-13:07",2
"168","positive","2016-04-13:08",1
"169","positive","2016-04-13:09",2
"170","positive","2016-04-13:10",4
"171","positive","2016-04-13:11",12
"172","positive","2016-04-13:12",6
"173","positive","2016-04-13:13",10
"174","positive","2016-04-13:14",14
"175","positive","2016-04-13:15",8
"176","positive","2016-04-13:16",5
"177","positive","2016-04-13:17",10
"178","positive","2016-04-13:18",5
"179","positive","2016-04-13:19",6
"180","positive","2016-04-13:20",8
"181","positive","2016-04-13:21",9
"182","positive","2016-04-13:22",9
"183","positive","2016-04-13:23",9
"184","positive","2016-04-14:00",6
"185","positive","2016-04-14:01",11
"186","positive","2016-04-14:02",7
"187","positive","2016-04-14:03",2
"188","positive","2016-04-14:05",1
"189","positive","2016-04-14:06",2
"190","positive","2016-04-14:08",2
"191","positive","2016-04-14:09",1
"192","positive","2016-04-14:10",3
"193","positive","2016-04-14:11",3
"194","positive","2016-04-14:12",8
"195","positive","2016-04-14:13",10
"196","positive","2016-04-14:14",3
"197","positive","2016-04-14:15",8
"198","positive","2016-04-14:16",6
"199","positive","2016-04-14:17",14
"200","positive","2016-04-14:18",16
"201","positive","2016-04-14:19",10
"202","positive","2016-04-14:20",5
"203","positive","2016-04-14:21",6
"204","positive","2016-04-14:22",10
"205","positive","2016-04-14:23",9
"206","positive","2016-04-15:00",10
"207","positive","2016-04-15:01",3
"208","positive","2016-04-15:02",1
"209","positive","2016-04-15:03",2
"210","positive","2016-04-15:04",3
"211","positive","2016-04-15:05",2
"212","positive","2016-04-15:08",2
"213","positive","2016-04-15:09",6
"214","positive","2016-04-15:10",2
"215","positive","2016-04-15:11",5
"216","positive","2016-04-15:12",4
"217","positive","2016-04-15:13",8
"218","positive","2016-04-15:14",9
"219","positive","2016-04-15:15",11
"220","positive","2016-04-15:16",9
"221","positive","2016-04-15:17",5
"222","positive","2016-04-15:18",6
"223","positive","2016-04-15:19",11
"224","positive","2016-04-15:20",6
"225","positive","2016-04-15:21",6
"226","positive","2016-04-15:22",4
"227","positive","2016-04-15:23",9
"228","positive","2016-04-16:00",4
"229","positive","2016-04-16:01",5
"230","positive","2016-04-16:02",1
"231","positive","2016-04-16:04",1
"232","positive","2016-04-16:11",1
"233","positive","2016-04-16:12",4
"234","positive","2016-04-16:13",4
"235","positive","2016-04-16:14",5
"236","positive","2016-04-16:15",5
"237","positive","2016-04-16:16",6
"238","positive","2016-04-16:17",5
"239","positive","2016-04-16:18",4
"240","positive","2016-04-16:19",5
"241","positive","2016-04-16:20",22
"242","positive","2016-04-16:21",4
"243","positive","2016-04-16:22",6
"244","positive","2016-04-16:23",4
"245","positive","2016-04-17:00",4
"246","positive","2016-04-17:01",4
"247","positive","2016-04-17:02",2
"248","positive","2016-04-17:03",3
"249","positive","2016-04-17:04",1
"250","positive","2016-04-17:05",4
"251","positive","2016-04-17:08",2
"252","positive","2016-04-17:10",2
"253","positive","2016-04-17:11",3
"254","positive","2016-04-17:12",7
"255","positive","2016-04-17:13",8
"256","positive","2016-04-17:14",10
"257","positive","2016-04-17:15",5
"258","positive","2016-04-17:16",5
"259","positive","2016-04-17:17",5
"260","positive","2016-04-17:18",5
"261","positive","2016-04-17:19",13
"262","positive","2016-04-17:20",8
"263","positive","2016-04-17:21",7
"264","positive","2016-04-17:22",2
"265","positive","2016-04-17:23",7
"266","positive","2016-04-18:00",6
"267","positive","2016-04-18:01",8
"268","positive","2016-04-18:02",1
"269","positive","2016-04-18:03",1
"270","positive","2016-04-18:04",3
"271","positive","2016-04-18:05",3
"272","positive","2016-04-18:06",1
"273","positive","2016-04-18:07",4
"274","positive","2016-04-18:08",1
"275","positive","2016-04-18:09",1
"276","positive","2016-04-18:10",4
"277","positive","2016-04-18:11",5
"278","positive","2016-04-18:12",2
"279","positive","2016-04-18:13",3
"280","positive","2016-04-18:14",8
"281","positive","2016-04-18:15",6
"282","positive","2016-04-18:16",6
"283","positive","2016-04-18:17",3
"284","positive","2016-04-18:18",9
"285","positive","2016-04-18:19",13
