"","tweet","created","number"
"215","positive","2016-04-13:15",30
"216","positive","2016-04-13:16",43
"217","positive","2016-04-13:17",39
"218","positive","2016-04-13:18",41
"219","positive","2016-04-13:19",38
"220","positive","2016-04-13:20",38
"221","positive","2016-04-13:21",38
"222","positive","2016-04-13:22",25
"223","positive","2016-04-13:23",24
"224","positive","2016-04-14:00",20
"225","positive","2016-04-14:01",15
"226","positive","2016-04-14:02",7
"227","positive","2016-04-14:03",5
"228","positive","2016-04-14:04",8
"229","positive","2016-04-14:05",5
"230","positive","2016-04-14:06",5
"231","positive","2016-04-14:07",13
"232","positive","2016-04-14:08",12
"233","positive","2016-04-14:09",29
"234","positive","2016-04-14:10",38
"235","positive","2016-04-14:11",37
"236","positive","2016-04-14:12",37
"237","positive","2016-04-14:13",20
"238","positive","2016-04-14:14",29
"239","positive","2016-04-14:15",35
"240","positive","2016-04-14:16",48
"241","positive","2016-04-14:17",42
"242","positive","2016-04-14:18",32
"243","positive","2016-04-14:19",47
"244","positive","2016-04-14:20",27
"245","positive","2016-04-14:21",41
"246","positive","2016-04-14:22",24
"247","positive","2016-04-14:23",28
"248","positive","2016-04-15:00",15
"249","positive","2016-04-15:01",17
"250","positive","2016-04-15:02",13
"251","positive","2016-04-15:03",4
"252","positive","2016-04-15:04",2
"253","positive","2016-04-15:05",6
"254","positive","2016-04-15:06",6
"255","positive","2016-04-15:07",9
"256","positive","2016-04-15:08",11
"257","positive","2016-04-15:09",22
"258","positive","2016-04-15:10",24
"259","positive","2016-04-15:11",17
"260","positive","2016-04-15:12",28
"261","positive","2016-04-15:13",35
"262","positive","2016-04-15:14",32
"263","positive","2016-04-15:15",40
"264","positive","2016-04-15:16",39
"265","positive","2016-04-15:17",38
"266","positive","2016-04-15:18",47
"267","positive","2016-04-15:19",50
"268","positive","2016-04-15:20",36
"269","positive","2016-04-15:21",21
"270","positive","2016-04-15:22",28
"271","positive","2016-04-15:23",22
"272","positive","2016-04-16:00",21
"273","positive","2016-04-16:01",20
"274","positive","2016-04-16:02",6
"275","positive","2016-04-16:03",7
"276","positive","2016-04-16:04",7
"277","positive","2016-04-16:05",4
"278","positive","2016-04-16:06",3
"279","positive","2016-04-16:07",8
"280","positive","2016-04-16:08",8
"281","positive","2016-04-16:09",13
"282","positive","2016-04-16:10",17
"283","positive","2016-04-16:11",24
"284","positive","2016-04-16:12",17
"285","positive","2016-04-16:13",32
"286","positive","2016-04-16:14",46
"287","positive","2016-04-16:15",41
"288","positive","2016-04-16:16",42
"289","positive","2016-04-16:17",28
"290","positive","2016-04-16:18",31
"291","positive","2016-04-16:19",33
"292","positive","2016-04-16:20",24
"293","positive","2016-04-16:21",36
"294","positive","2016-04-16:22",25
"295","positive","2016-04-16:23",18
"296","positive","2016-04-17:00",7
"297","positive","2016-04-17:01",9
"298","positive","2016-04-17:02",8
"299","positive","2016-04-17:03",7
"300","positive","2016-04-17:04",3
"301","positive","2016-04-17:05",5
"302","positive","2016-04-17:06",2
"303","positive","2016-04-17:07",4
"304","positive","2016-04-17:08",10
"305","positive","2016-04-17:09",13
"306","positive","2016-04-17:10",23
"307","positive","2016-04-17:11",27
"308","positive","2016-04-17:12",46
"309","positive","2016-04-17:13",38
"310","positive","2016-04-17:14",53
"311","positive","2016-04-17:15",55
"312","positive","2016-04-17:16",57
"313","positive","2016-04-17:17",46
"314","positive","2016-04-17:18",46
"315","positive","2016-04-17:19",27
"316","positive","2016-04-17:20",36
"317","positive","2016-04-17:21",28
"318","positive","2016-04-17:22",24
"319","positive","2016-04-17:23",23
"320","positive","2016-04-18:00",17
"321","positive","2016-04-18:01",22
"322","positive","2016-04-18:02",15
"323","positive","2016-04-18:03",5
"324","positive","2016-04-18:04",9
"325","positive","2016-04-18:05",4
"326","positive","2016-04-18:06",5
"327","positive","2016-04-18:07",6
"328","positive","2016-04-18:08",10
"329","positive","2016-04-18:09",13
"330","positive","2016-04-18:10",16
"331","positive","2016-04-18:11",98
"332","positive","2016-04-18:12",98
"333","positive","2016-04-18:13",43
"334","positive","2016-04-18:14",38
"335","positive","2016-04-18:15",24
"336","positive","2016-04-18:16",38
"337","positive","2016-04-18:17",33
"338","positive","2016-04-18:18",35
"339","positive","2016-04-18:19",37
"340","positive","2016-04-19:19",1
"341","positive","2016-05-01:19",1
